n_sapwood,Miles1997_NM,Miles1997_WBC,Miles1997_SC
1,NA,NA,NA
2,NA,NA,NA
3,NA,NA,2
4,NA,NA,1
5,NA,NA,1
6,NA,NA,NA
7,NA,1,NA
8,NA,NA,2
9,NA,7,2
10,2,3,6
11,3,6,13
12,9,3,12
13,7,10,23
14,11,10,19
15,6,12,19
16,15,14,29
17,17,12,35
18,9,9,22
19,18,14,22
20,21,16,26
21,19,8,20
22,9,9,20
23,14,12,14
24,14,13,16
25,11,6,20
26,16,10,8
27,13,9,15
28,7,5,4
29,12,7,16
30,7,4,7
31,7,1,4
32,5,2,8
33,6,3,4
34,4,2,2
35,3,2,4
36,2,1,1
37,5,2,1
38,3,2,1
39,5,NA,1
40,2,NA,1
41,NA,1,NA
42,NA,NA,NA
43,3,1,NA
44,2,NA,1
45,3,NA,1
46,1,NA,NA
47,1,1,NA
48,NA,NA,1
49,NA,1,NA
50,1,NA,NA
51,NA,NA,NA
52,NA,NA,NA
53,NA,NA,1
54,NA,NA,NA
55,1,NA,NA
56,NA,NA,1
57,NA,NA,NA
58,NA,NA,NA
59,1,NA,NA
60,NA,NA,NA
61,NA,NA,NA
62,NA,NA,NA
63,NA,NA,NA
64,NA,NA,NA
65,NA,NA,NA
66,NA,NA,NA
67,NA,NA,NA
